"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Shabbat Parah","2/4/2016",,,,"true","Shabbat of the Red Heifer","3","Jewish Holidays"
"Parashat Tazria","9/4/2016",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Nisan","9/4/2016",,,,"true","Beginning of new Hebrew month of Nisan","3","Jewish Holidays"
"Shabbat HaChodesh","9/4/2016",,,,"true","Shabbat before Rosh Chodesh Nissan","3","Jewish Holidays"
"Parashat Metzora","16/4/2016",,,,"true","","3","Jewish Holidays"
"Shabbat HaGadol","16/4/2016",,,,"true","Shabbat before Pesach","3","Jewish Holidays"
"Ta'anit Bechorot","22/4/2016",,,,"true","Fast of the First Born","3","Jewish Holidays"
"Erev Pesach","22/4/2016",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","23/4/2016",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II","24/4/2016",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach III (CH''M)","25/4/2016",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH''M)","26/4/2016",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH''M)","27/4/2016",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH''M)","28/4/2016",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","29/4/2016",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach VIII","30/4/2016",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Yom HaShoah","5/5/2016",,,,"true","Holocaust Memorial Day","3","Jewish Holidays"
"Parashat Achrei Mot","7/5/2016",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Iyyar","8/5/2016",,,,"true","Beginning of new Hebrew month of Iyyar","3","Jewish Holidays"
"Rosh Chodesh Iyyar","9/5/2016",,,,"true","Beginning of new Hebrew month of Iyyar","3","Jewish Holidays"
"Yom HaZikaron","11/5/2016",,,,"true","Israeli Memorial Day","3","Jewish Holidays"
"Yom HaAtzma'ut","12/5/2016",,,,"true","Israeli Independence Day","3","Jewish Holidays"
"Parashat Kedoshim","14/5/2016",,,,"true","","3","Jewish Holidays"
"Parashat Emor","21/5/2016",,,,"true","","3","Jewish Holidays"
"Pesach Sheni","22/5/2016",,,,"true","Second Passover; one month after Passover","3","Jewish Holidays"
"Lag B'Omer","26/5/2016",,,,"true","33rd day of counting the Omer","3","Jewish Holidays"
"Parashat Behar","28/5/2016",,,,"true","","3","Jewish Holidays"
"Parashat Bechukotai","4/6/2016",,,,"true","","3","Jewish Holidays"
"Yom Yerushalayim","5/6/2016",,,,"true","Jerusalem Day","3","Jewish Holidays"
"Rosh Chodesh Sivan","7/6/2016",,,,"true","Beginning of new Hebrew month of Sivan","3","Jewish Holidays"
"Parashat Bamidbar","11/6/2016",,,,"true","","3","Jewish Holidays"
"Erev Shavuot","11/6/2016",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","3","Jewish Holidays"
"Shavuot I","12/6/2016",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Shavuot II","13/6/2016",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Parashat Nasso","18/6/2016",,,,"true","","3","Jewish Holidays"
"Parashat Beha'alotcha","25/6/2016",,,,"true","","3","Jewish Holidays"
"Parashat Sh'lach","2/7/2016",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Tamuz","6/7/2016",,,,"true","Beginning of new Hebrew month of Tamuz","3","Jewish Holidays"
"Rosh Chodesh Tamuz","7/7/2016",,,,"true","Beginning of new Hebrew month of Tamuz","3","Jewish Holidays"
"Parashat Korach","9/7/2016",,,,"true","","3","Jewish Holidays"
"Parashat Chukat","16/7/2016",,,,"true","","3","Jewish Holidays"
"Parashat Balak","23/7/2016",,,,"true","","3","Jewish Holidays"
"Tzom Tammuz","24/7/2016",,,,"true","Fast commemorating breaching of the walls of Jerusalem by Nebuchadnezzar","3","Jewish Holidays"
"Parashat Pinchas","30/7/2016",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Av","5/8/2016",,,,"true","Beginning of new Hebrew month of Av","3","Jewish Holidays"
"Parashat Matot-Masei","6/8/2016",,,,"true","","3","Jewish Holidays"
"Parashat Devarim","13/8/2016",,,,"true","","3","Jewish Holidays"
"Shabbat Chazon","13/8/2016",,,,"true","Shabbat before Tish'a B'Av (Shabbat of Prophecy/Shabbat of Vision)","3","Jewish Holidays"
"Erev Tish'a B'Av","13/8/2016",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Tish'a B'Av","14/8/2016",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Parashat Vaetchanan","20/8/2016",,,,"true","","3","Jewish Holidays"
"Shabbat Nachamu","20/8/2016",,,,"true","Shabbat after Tish'a B'Av (Shabbat of Consolation)","3","Jewish Holidays"
"Parashat Eikev","27/8/2016",,,,"true","","3","Jewish Holidays"
"Parashat Re'eh","3/9/2016",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Elul","3/9/2016",,,,"true","Beginning of new Hebrew month of Elul","3","Jewish Holidays"
"Rosh Chodesh Elul","4/9/2016",,,,"true","Beginning of new Hebrew month of Elul","3","Jewish Holidays"
"Parashat Shoftim","10/9/2016",,,,"true","","3","Jewish Holidays"
"Parashat Ki Teitzei","17/9/2016",,,,"true","","3","Jewish Holidays"
"Parashat Ki Tavo","24/9/2016",,,,"true","","3","Jewish Holidays"
"Leil Selichot","24/9/2016",,,,"true","Prayers for forgivenes in preparation for the High Holidays","3","Jewish Holidays"
"Parashat Nitzavim","1/10/2016",,,,"true","","3","Jewish Holidays"
"Erev Rosh Hashana","2/10/2016",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5777","3/10/2016",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","4/10/2016",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Tzom Gedaliah","5/10/2016",,,,"true","Fast of the Seventh Month; commemorates the assassination of the Jewish governor of Judah","3","Jewish Holidays"
"Parashat Vayeilech","8/10/2016",,,,"true","","3","Jewish Holidays"
"Shabbat Shuva","8/10/2016",,,,"true","Shabbat that falls between Rosh Hashanah and Yom Kippur (Shabbat of Returning)","3","Jewish Holidays"
"Erev Yom Kippur","11/10/2016",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","12/10/2016",,,,"true","Day of Atonement","4","Jewish Holidays"
"Parashat Ha'Azinu","15/10/2016",,,,"true","","3","Jewish Holidays"
"Erev Sukkot","16/10/2016",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot I","17/10/2016",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot II","18/10/2016",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot III (CH''M)","19/10/2016",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot IV (CH''M)","20/10/2016",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot V (CH''M)","21/10/2016",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VI (CH''M)","22/10/2016",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","23/10/2016",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Shmini Atzeret","24/10/2016",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Simchat Torah","25/10/2016",,,,"true","Day of Celebrating the Torah","4","Jewish Holidays"
"Parashat Bereshit","29/10/2016",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Cheshvan","1/11/2016",,,,"true","Beginning of new Hebrew month of Cheshvan","3","Jewish Holidays"
"Rosh Chodesh Cheshvan","2/11/2016",,,,"true","Beginning of new Hebrew month of Cheshvan","3","Jewish Holidays"
"Parashat Noach","5/11/2016",,,,"true","","3","Jewish Holidays"
"Parashat Lech-Lecha","12/11/2016",,,,"true","","3","Jewish Holidays"
"Parashat Vayera","19/11/2016",,,,"true","","3","Jewish Holidays"
"Parashat Chayei Sara","26/11/2016",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Kislev","1/12/2016",,,,"true","Beginning of new Hebrew month of Kislev","3","Jewish Holidays"
"Parashat Toldot","3/12/2016",,,,"true","","3","Jewish Holidays"
"Parashat Vayetzei","10/12/2016",,,,"true","","3","Jewish Holidays"
"Parashat Vayishlach","17/12/2016",,,,"true","","3","Jewish Holidays"
"Parashat Vayeshev","24/12/2016",,,,"true","","3","Jewish Holidays"
"Chanukah: 1 Candle","24/12/2016",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 2 Candles","25/12/2016",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 3 Candles","26/12/2016",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 4 Candles","27/12/2016",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 5 Candles","28/12/2016",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 6 Candles","29/12/2016",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Rosh Chodesh Tevet","30/12/2016",,,,"true","Beginning of new Hebrew month of Tevet","3","Jewish Holidays"
"Chanukah: 7 Candles","30/12/2016",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Parashat Miketz","31/12/2016",,,,"true","","3","Jewish Holidays"
"Chanukah: 8 Candles","31/12/2016",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8th Day","1/1/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Parashat Vayigash","7/1/2017",,,,"true","","3","Jewish Holidays"
"Asara B'Tevet","8/1/2017",,,,"true","Fast commemorating the siege of Jerusalem","3","Jewish Holidays"
"Parashat Vayechi","14/1/2017",,,,"true","","3","Jewish Holidays"
"Parashat Shemot","21/1/2017",,,,"true","","3","Jewish Holidays"
"Parashat Vaera","28/1/2017",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Sh'vat","28/1/2017",,,,"true","Beginning of new Hebrew month of Sh'vat","3","Jewish Holidays"
"Parashat Bo","4/2/2017",,,,"true","","3","Jewish Holidays"
"Parashat Beshalach","11/2/2017",,,,"true","","3","Jewish Holidays"
"Tu BiShvat","11/2/2017",,,,"true","New Year for Trees","3","Jewish Holidays"
"Parashat Yitro","18/2/2017",,,,"true","","3","Jewish Holidays"
"Parashat Mishpatim","25/2/2017",,,,"true","","3","Jewish Holidays"
"Shabbat Shekalim","25/2/2017",,,,"true","Shabbat before Rosh Chodesh Adar","3","Jewish Holidays"
"Rosh Chodesh Adar","26/2/2017",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Rosh Chodesh Adar","27/2/2017",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Parashat Terumah","4/3/2017",,,,"true","","3","Jewish Holidays"
"Ta'anit Esther","9/3/2017",,,,"true","Fast of Esther","3","Jewish Holidays"
"Parashat Tetzaveh","11/3/2017",,,,"true","","3","Jewish Holidays"
"Shabbat Zachor","11/3/2017",,,,"true","Shabbat before Purim","3","Jewish Holidays"
"Erev Purim","11/3/2017",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Purim","12/3/2017",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Shushan Purim","13/3/2017",,,,"true","Purim celebrated in Jerusalem and walled cities","3","Jewish Holidays"
"Parashat Ki Tisa","18/3/2017",,,,"true","","3","Jewish Holidays"
"Shabbat Parah","18/3/2017",,,,"true","Shabbat of the Red Heifer","3","Jewish Holidays"
"Parashat Vayakhel-Pekudei","25/3/2017",,,,"true","","3","Jewish Holidays"
"Shabbat HaChodesh","25/3/2017",,,,"true","Shabbat before Rosh Chodesh Nissan","3","Jewish Holidays"
"Rosh Chodesh Nisan","28/3/2017",,,,"true","Beginning of new Hebrew month of Nisan","3","Jewish Holidays"
"Parashat Vayikra","1/4/2017",,,,"true","","3","Jewish Holidays"
"Parashat Tzav","8/4/2017",,,,"true","","3","Jewish Holidays"
"Shabbat HaGadol","8/4/2017",,,,"true","Shabbat before Pesach","3","Jewish Holidays"
"Ta'anit Bechorot","10/4/2017",,,,"true","Fast of the First Born","3","Jewish Holidays"
"Erev Pesach","10/4/2017",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","11/4/2017",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II","12/4/2017",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach III (CH''M)","13/4/2017",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH''M)","14/4/2017",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH''M)","15/4/2017",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH''M)","16/4/2017",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","17/4/2017",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach VIII","18/4/2017",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Parashat Shmini","22/4/2017",,,,"true","","3","Jewish Holidays"
"Yom HaShoah","24/4/2017",,,,"true","Holocaust Memorial Day","3","Jewish Holidays"
"Rosh Chodesh Iyyar","26/4/2017",,,,"true","Beginning of new Hebrew month of Iyyar","3","Jewish Holidays"
"Rosh Chodesh Iyyar","27/4/2017",,,,"true","Beginning of new Hebrew month of Iyyar","3","Jewish Holidays"
"Parashat Tazria-Metzora","29/4/2017",,,,"true","","3","Jewish Holidays"
"Yom HaZikaron","1/5/2017",,,,"true","Israeli Memorial Day","3","Jewish Holidays"
"Yom HaAtzma'ut","2/5/2017",,,,"true","Israeli Independence Day","3","Jewish Holidays"
"Parashat Achrei Mot-Kedoshim","6/5/2017",,,,"true","","3","Jewish Holidays"
"Pesach Sheni","10/5/2017",,,,"true","Second Passover; one month after Passover","3","Jewish Holidays"
"Parashat Emor","13/5/2017",,,,"true","","3","Jewish Holidays"
"Lag B'Omer","14/5/2017",,,,"true","33rd day of counting the Omer","3","Jewish Holidays"
"Parashat Behar-Bechukotai","20/5/2017",,,,"true","","3","Jewish Holidays"
"Yom Yerushalayim","24/5/2017",,,,"true","Jerusalem Day","3","Jewish Holidays"
"Rosh Chodesh Sivan","26/5/2017",,,,"true","Beginning of new Hebrew month of Sivan","3","Jewish Holidays"
"Parashat Bamidbar","27/5/2017",,,,"true","","3","Jewish Holidays"
"Erev Shavuot","30/5/2017",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","3","Jewish Holidays"
"Shavuot I","31/5/2017",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Shavuot II","1/6/2017",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Parashat Nasso","3/6/2017",,,,"true","","3","Jewish Holidays"
"Parashat Beha'alotcha","10/6/2017",,,,"true","","3","Jewish Holidays"
"Parashat Sh'lach","17/6/2017",,,,"true","","3","Jewish Holidays"
"Parashat Korach","24/6/2017",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Tamuz","24/6/2017",,,,"true","Beginning of new Hebrew month of Tamuz","3","Jewish Holidays"
"Rosh Chodesh Tamuz","25/6/2017",,,,"true","Beginning of new Hebrew month of Tamuz","3","Jewish Holidays"
"Parashat Chukat","1/7/2017",,,,"true","","3","Jewish Holidays"
"Parashat Balak","8/7/2017",,,,"true","","3","Jewish Holidays"
"Tzom Tammuz","11/7/2017",,,,"true","Fast commemorating breaching of the walls of Jerusalem by Nebuchadnezzar","3","Jewish Holidays"
"Parashat Pinchas","15/7/2017",,,,"true","","3","Jewish Holidays"
"Parashat Matot-Masei","22/7/2017",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Av","24/7/2017",,,,"true","Beginning of new Hebrew month of Av","3","Jewish Holidays"
"Parashat Devarim","29/7/2017",,,,"true","","3","Jewish Holidays"
"Shabbat Chazon","29/7/2017",,,,"true","Shabbat before Tish'a B'Av (Shabbat of Prophecy/Shabbat of Vision)","3","Jewish Holidays"
"Erev Tish'a B'Av","31/7/2017",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Tish'a B'Av","1/8/2017",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Parashat Vaetchanan","5/8/2017",,,,"true","","3","Jewish Holidays"
"Shabbat Nachamu","5/8/2017",,,,"true","Shabbat after Tish'a B'Av (Shabbat of Consolation)","3","Jewish Holidays"
"Parashat Eikev","12/8/2017",,,,"true","","3","Jewish Holidays"
"Parashat Re'eh","19/8/2017",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Elul","22/8/2017",,,,"true","Beginning of new Hebrew month of Elul","3","Jewish Holidays"
"Rosh Chodesh Elul","23/8/2017",,,,"true","Beginning of new Hebrew month of Elul","3","Jewish Holidays"
"Parashat Shoftim","26/8/2017",,,,"true","","3","Jewish Holidays"
"Parashat Ki Teitzei","2/9/2017",,,,"true","","3","Jewish Holidays"
"Parashat Ki Tavo","9/9/2017",,,,"true","","3","Jewish Holidays"
"Parashat Nitzavim-Vayeilech","16/9/2017",,,,"true","","3","Jewish Holidays"
"Leil Selichot","16/9/2017",,,,"true","Prayers for forgivenes in preparation for the High Holidays","3","Jewish Holidays"
"Erev Rosh Hashana","20/9/2017",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5778","21/9/2017",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","22/9/2017",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Parashat Ha'Azinu","23/9/2017",,,,"true","","3","Jewish Holidays"
"Shabbat Shuva","23/9/2017",,,,"true","Shabbat that falls between Rosh Hashanah and Yom Kippur (Shabbat of Returning)","3","Jewish Holidays"
"Tzom Gedaliah","24/9/2017",,,,"true","Fast of the Seventh Month; commemorates the assassination of the Jewish governor of Judah","3","Jewish Holidays"
"Erev Yom Kippur","29/9/2017",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","30/9/2017",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","4/10/2017",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot I","5/10/2017",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot II","6/10/2017",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot III (CH''M)","7/10/2017",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot IV (CH''M)","8/10/2017",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot V (CH''M)","9/10/2017",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VI (CH''M)","10/10/2017",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","11/10/2017",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Shmini Atzeret","12/10/2017",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Simchat Torah","13/10/2017",,,,"true","Day of Celebrating the Torah","4","Jewish Holidays"
"Parashat Bereshit","14/10/2017",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Cheshvan","20/10/2017",,,,"true","Beginning of new Hebrew month of Cheshvan","3","Jewish Holidays"
"Parashat Noach","21/10/2017",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Cheshvan","21/10/2017",,,,"true","Beginning of new Hebrew month of Cheshvan","3","Jewish Holidays"
"Parashat Lech-Lecha","28/10/2017",,,,"true","","3","Jewish Holidays"
"Parashat Vayera","4/11/2017",,,,"true","","3","Jewish Holidays"
"Parashat Chayei Sara","11/11/2017",,,,"true","","3","Jewish Holidays"
"Parashat Toldot","18/11/2017",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Kislev","19/11/2017",,,,"true","Beginning of new Hebrew month of Kislev","3","Jewish Holidays"
"Parashat Vayetzei","25/11/2017",,,,"true","","3","Jewish Holidays"
"Parashat Vayishlach","2/12/2017",,,,"true","","3","Jewish Holidays"
"Parashat Vayeshev","9/12/2017",,,,"true","","3","Jewish Holidays"
"Chanukah: 1 Candle","12/12/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 2 Candles","13/12/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 3 Candles","14/12/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 4 Candles","15/12/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Parashat Miketz","16/12/2017",,,,"true","","3","Jewish Holidays"
"Chanukah: 5 Candles","16/12/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 6 Candles","17/12/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Rosh Chodesh Tevet","18/12/2017",,,,"true","Beginning of new Hebrew month of Tevet","3","Jewish Holidays"
"Chanukah: 7 Candles","18/12/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Rosh Chodesh Tevet","19/12/2017",,,,"true","Beginning of new Hebrew month of Tevet","3","Jewish Holidays"
"Chanukah: 8 Candles","19/12/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8th Day","20/12/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Parashat Vayigash","23/12/2017",,,,"true","","3","Jewish Holidays"
"Asara B'Tevet","28/12/2017",,,,"true","Fast commemorating the siege of Jerusalem","3","Jewish Holidays"
"Parashat Vayechi","30/12/2017",,,,"true","","3","Jewish Holidays"
"Parashat Shemot","6/1/2018",,,,"true","","3","Jewish Holidays"
"Parashat Vaera","13/1/2018",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Sh'vat","17/1/2018",,,,"true","Beginning of new Hebrew month of Sh'vat","3","Jewish Holidays"
"Parashat Bo","20/1/2018",,,,"true","","3","Jewish Holidays"
"Parashat Beshalach","27/1/2018",,,,"true","","3","Jewish Holidays"
"Tu BiShvat","31/1/2018",,,,"true","New Year for Trees","3","Jewish Holidays"
"Parashat Yitro","3/2/2018",,,,"true","","3","Jewish Holidays"
"Parashat Mishpatim","10/2/2018",,,,"true","","3","Jewish Holidays"
"Shabbat Shekalim","10/2/2018",,,,"true","Shabbat before Rosh Chodesh Adar","3","Jewish Holidays"
"Rosh Chodesh Adar","15/2/2018",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Rosh Chodesh Adar","16/2/2018",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Parashat Terumah","17/2/2018",,,,"true","","3","Jewish Holidays"
"Parashat Tetzaveh","24/2/2018",,,,"true","","3","Jewish Holidays"
"Shabbat Zachor","24/2/2018",,,,"true","Shabbat before Purim","3","Jewish Holidays"
"Ta'anit Esther","28/2/2018",,,,"true","Fast of Esther","3","Jewish Holidays"
"Erev Purim","28/2/2018",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Purim","1/3/2018",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Shushan Purim","2/3/2018",,,,"true","Purim celebrated in Jerusalem and walled cities","3","Jewish Holidays"
"Parashat Ki Tisa","3/3/2018",,,,"true","","3","Jewish Holidays"
"Parashat Vayakhel-Pekudei","10/3/2018",,,,"true","","3","Jewish Holidays"
"Shabbat Parah","10/3/2018",,,,"true","Shabbat of the Red Heifer","3","Jewish Holidays"
"Parashat Vayikra","17/3/2018",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Nisan","17/3/2018",,,,"true","Beginning of new Hebrew month of Nisan","3","Jewish Holidays"
"Shabbat HaChodesh","17/3/2018",,,,"true","Shabbat before Rosh Chodesh Nissan","3","Jewish Holidays"
"Parashat Tzav","24/3/2018",,,,"true","","3","Jewish Holidays"
"Shabbat HaGadol","24/3/2018",,,,"true","Shabbat before Pesach","3","Jewish Holidays"
"Ta'anit Bechorot","30/3/2018",,,,"true","Fast of the First Born","3","Jewish Holidays"
"Erev Pesach","30/3/2018",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","31/3/2018",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II","1/4/2018",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach III (CH''M)","2/4/2018",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH''M)","3/4/2018",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH''M)","4/4/2018",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH''M)","5/4/2018",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","6/4/2018",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach VIII","7/4/2018",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Yom HaShoah","12/4/2018",,,,"true","Holocaust Memorial Day","3","Jewish Holidays"
"Parashat Shmini","14/4/2018",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Iyyar","15/4/2018",,,,"true","Beginning of new Hebrew month of Iyyar","3","Jewish Holidays"
"Rosh Chodesh Iyyar","16/4/2018",,,,"true","Beginning of new Hebrew month of Iyyar","3","Jewish Holidays"
"Yom HaZikaron","18/4/2018",,,,"true","Israeli Memorial Day","3","Jewish Holidays"
"Yom HaAtzma'ut","19/4/2018",,,,"true","Israeli Independence Day","3","Jewish Holidays"
"Parashat Tazria-Metzora","21/4/2018",,,,"true","","3","Jewish Holidays"
"Parashat Achrei Mot-Kedoshim","28/4/2018",,,,"true","","3","Jewish Holidays"
"Pesach Sheni","29/4/2018",,,,"true","Second Passover; one month after Passover","3","Jewish Holidays"
"Lag B'Omer","3/5/2018",,,,"true","33rd day of counting the Omer","3","Jewish Holidays"
"Parashat Emor","5/5/2018",,,,"true","","3","Jewish Holidays"
"Parashat Behar-Bechukotai","12/5/2018",,,,"true","","3","Jewish Holidays"
"Yom Yerushalayim","13/5/2018",,,,"true","Jerusalem Day","3","Jewish Holidays"
"Rosh Chodesh Sivan","15/5/2018",,,,"true","Beginning of new Hebrew month of Sivan","3","Jewish Holidays"
"Parashat Bamidbar","19/5/2018",,,,"true","","3","Jewish Holidays"
"Erev Shavuot","19/5/2018",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","3","Jewish Holidays"
"Shavuot I","20/5/2018",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
